year,region,substance,study,mean,sd,citation
2017,China,HFC-236fa,"Yao et al., 2019",0.13,0.01,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2011,China,HFC-245fa,"Yao et al., 2019",0.7,0.2,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2012,China,HFC-245fa,"Yao et al., 2019",0.7,0.35,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2013,China,HFC-245fa,"Yao et al., 2019",0.7,0.3,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2014,China,HFC-245fa,"Yao et al., 2019",0.8,0.3,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2015,China,HFC-245fa,"Yao et al., 2019",1.6,0.45,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2016,China,HFC-245fa,"Yao et al., 2019",1.2,0.3,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2017,China,HFC-245fa,"Yao et al., 2019",1.3,0.15,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2014,China,HFC-365mfc,"Yao et al., 2019",0.3,0.25,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2015,China,HFC-365mfc,"Yao et al., 2019",0.4,0.3,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2016,China,HFC-365mfc,"Yao et al., 2019",0.4,0.15,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2017,China,HFC-365mfc,"Yao et al., 2019",0.4,0.05,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2006,China,SF6,"Fang et al., 2014",1.43,0.25,"Fang, X. et al. Sulfur hexafluoride (SF6) emissions in East Asia determined by inverse modeling. Atmos. Chem. Phys. 14, 4779-4791 (2014)."
2007,China,SF6,"Fang et al., 2014",2.17,0.37,"Fang, X. et al. Sulfur hexafluoride (SF6) emissions in East Asia determined by inverse modeling. Atmos. Chem. Phys. 14, 4779-4791 (2014)."
2008,China,SF6,"Fang et al., 2014",2.39,0.41,"Fang, X. et al. Sulfur hexafluoride (SF6) emissions in East Asia determined by inverse modeling. Atmos. Chem. Phys. 14, 4779-4791 (2014)."
2009,China,SF6,"Fang et al., 2014",2.74,0.47,"Fang, X. et al. Sulfur hexafluoride (SF6) emissions in East Asia determined by inverse modeling. Atmos. Chem. Phys. 14, 4779-4791 (2014)."
2010,China,SF6,"Fang et al., 2014",2.55,0.44,"Fang, X. et al. Sulfur hexafluoride (SF6) emissions in East Asia determined by inverse modeling. Atmos. Chem. Phys. 14, 4779-4791 (2014)."
2011,China,SF6,"Fang et al., 2014",2.83,0.49,"Fang, X. et al. Sulfur hexafluoride (SF6) emissions in East Asia determined by inverse modeling. Atmos. Chem. Phys. 14, 4779-4791 (2014)."
2012,China,SF6,"Fang et al., 2014",2.87,0.49,"Fang, X. et al. Sulfur hexafluoride (SF6) emissions in East Asia determined by inverse modeling. Atmos. Chem. Phys. 14, 4779-4791 (2014)."
2023,Eastern China,CH3CCl3,"Jin et al., 2025",0.21,0.04,"Jin, S. et al. Emissions of Ozone-Layer-Depleting Methyl Chloroform (CH3CCl3) in China Inferred from High-Frequency In-Situ Observations. Environ. Sci. Technol. Lett. 12, 1340-1346 (2025)."
2024,Eastern China,CH3CCl3,"Jin et al., 2025",0.21,0.04,"Jin, S. et al. Emissions of Ozone-Layer-Depleting Methyl Chloroform (CH3CCl3) in China Inferred from High-Frequency In-Situ Observations. Environ. Sci. Technol. Lett. 12, 1340-1346 (2025)."
2023,China,CH3CCl3,"Jin et al., 2025",0.3,0.06,"Jin, S. et al. Emissions of Ozone-Layer-Depleting Methyl Chloroform (CH3CCl3) in China Inferred from High-Frequency In-Situ Observations. Environ. Sci. Technol. Lett. 12, 1340-1346 (2025)."
2024,China,CH3CCl3,"Jin et al., 2025",0.3,0.06,"Jin, S. et al. Emissions of Ozone-Layer-Depleting Methyl Chloroform (CH3CCl3) in China Inferred from High-Frequency In-Situ Observations. Environ. Sci. Technol. Lett. 12, 1340-1346 (2025)."
